Time,SSS-RSRP,SSS-RePower
49:03.6,-127.2,-112.1
49:25.8,-140.5,-124
49:30.7,-126.9,-119.8
49:35.6,-132.3,-123.4
49:37.2,-128.3,-120.8
49:52.6,-139.5,-124
49:52.8,-122.2,-120
50:03.1,-136.8,-115.5
50:08.4,-116,-115
50:10.4,-138.5,-122.2
50:11.1,-124.9,-119
50:14.3,-122.5,-118.2
50:19.8,-136.6,-122.3
50:19.9,-116.5,-114
50:20.1,-128.4,-120.7
50:25.6,-132.1,-120.7
50:29.6,-137,-121.7
50:33.9,-141.3,-122.5
50:34.0,-132.2,-120.2
50:35.4,-128.8,-121.6
50:42.8,-124.3,-118.7
50:42.9,-136,-120.8
50:44.3,-126.5,-116.4
50:52.8,-133.1,-115.5
50:52.9,-121.7,-120.3
50:53.2,-132.5,-118.2
50:58.4,-127.8,-99.2
51:03.3,-134.9,-107.5
51:03.4,-107.9,-107.4
51:05.7,-129.7,-110.8
51:10.0,-131.8,-105.1
51:10.0,-135.9,-118.8
51:11.4,-125.8,-119.2
51:16.6,-128.8,-119.8
51:19.4,-123.6,-115.9
51:19.5,-128.5,-119.9
51:25.9,-134.2,-111.9
51:27.9,-138.3,-116.9
51:30.4,-135.8,-121.7
51:35.8,-131.1,-115.4
51:35.9,-134.4,-117.7
51:40.9,-133.8,-122
51:45.6,-139.3,-121.5
51:49.1,-134.8,-112.4
51:53.5,-135.4,-121.8
51:56.0,-135,-121.9
52:01.0,-132,-120.9
52:05.5,-134.4,-121.4
52:10.2,-126.1,-119.1
52:14.3,-135.2,-122.4
52:23.9,-131,-120.3
52:26.5,-136.6,-121.8
52:37.6,-125.1,-118.5
52:38.7,-129,-121
52:47.0,-126.9,-119.2
52:50.3,-126.4,-120.6
52:55.8,-123.4,-118.2
53:00.8,-123.5,-118.7
53:01.3,-122.4,-117.4
53:10.3,-126.9,-118.5
53:13.7,-136.5,-118.1
53:20.4,-126,-116
53:20.5,-124,-115.2
53:29.5,-131.1,-117
53:31.5,-129.9,-113.7
53:39.9,-122.1,-115.2
53:46.3,-113.3,-113.4
53:51.0,-123.5,-115
53:54.1,-123.3,-109.2
54:01.7,-123.9,-107.2
54:01.8,-121.8,-110.5
54:01.8,-130.4,-107.2
54:05.4,-127.7,-95.3
